Computer	Share	IsEveryoneAllowed	IsCurrentUserAllowed
BGLC5CD340F6ZC.BSLI.COM	ADMIN$	False	False
BGLC5CD340F6ZC.BSLI.COM	C$	False	False
BSLIRTSTL248.BSLI.COM	ADMIN$	False	False
BSLIRTSTL248.BSLI.COM	C$	False	False
BSLIRTSTL248.BSLI.COM	D$	False	False
HILC1008240700.BSLI.COM	ADMIN$	False	False
HILC1008240700.BSLI.COM	C$	False	False
HILC1008240700.BSLI.COM	D$	False	False
BSLITHNHRL076.BSLI.COM	ADMIN$	False	False
BSLITHNHRL076.BSLI.COM	C$	False	False
BSLITHNHRL076.BSLI.COM	D$	False	False
BGLC6J2WBL3.BSLI.COM	ADMIN$	False	False
BGLC6J2WBL3.BSLI.COM	C$	False	False
