Computer	Share	IsEveryoneAllowed	IsCurrentUserAllowed
HFDC80CB0C0700.BSLI.COM	ADMIN$	False	False
HFDC80CB0C0700.BSLI.COM	C$	False	False
BGLC3537N94.BSLI.COM	ADMIN$	False	False
BGLC3537N94.BSLI.COM	C$	False	False
BGLVCB7JDS.BSLI.COM	ADMIN$	False	False
BGLVCB7JDS.BSLI.COM	C$	False	False
HFLC7B2TLG3.BSLI.COM	ADMIN$	False	False
HFLC7B2TLG3.BSLI.COM	C$	False	False
SSLC5CD335LTP2.BSLI.COM	ADMIN$	False	False
SSLC5CD335LTP2.BSLI.COM	C$	False	False
HILC503E000700.BSLI.COM	ADMIN$	False	False
HILC503E000700.BSLI.COM	C$	False	False
HILC503E000700.BSLI.COM	D$	False	False
BGLC5CD501B7QT.BSLI.COM	ADMIN$	False	False
BGLC5CD501B7QT.BSLI.COM	C$	False	False
BGLC5CD501B7QT.BSLI.COM	print$	True	True
HILCJNHZVG3.BSLI.COM	ADMIN$	False	False
HILCJNHZVG3.BSLI.COM	C$	False	False
HILCJNHZVG3.BSLI.COM	D	True	True
HILCJNHZVG3.BSLI.COM	D$	False	False
ADLC5CD4125R0C.BSLI.COM	ADMIN$	False	False
ADLC5CD4125R0C.BSLI.COM	C$	False	False
HFLC94L6HS3.BSLI.COM	ADMIN$	False	False
HFLC94L6HS3.BSLI.COM	C$	False	False
BSLIAMBDML251.BSLI.COM	ADMIN$	False	False
BSLIAMBDML251.BSLI.COM	C$	False	False
BSLIAMBDML251.BSLI.COM	D	True	True
BSLIAMBDML251.BSLI.COM	D$	False	False
BSLIAMBDML251.BSLI.COM	print$	True	True
BGLC5CD5040YCB.BSLI.COM	ADMIN$	False	False
BGLC5CD5040YCB.BSLI.COM	C$	False	False
BGLC5CD5040YFW.BSLI.COM	ADMIN$	False	False
BGLC5CD5040YFW.BSLI.COM	C$	False	False
BGLC5CD5040YG2.BSLI.COM	ADMIN$	False	False
BGLC5CD5040YG2.BSLI.COM	C$	False	False
BGLC5CD5061PN0.BSLI.COM	ADMIN$	False	False
BGLC5CD5061PN0.BSLI.COM	C$	False	False
BGLC5CD5061PN8.BSLI.COM	ADMIN$	False	False
BGLC5CD5061PN8.BSLI.COM	C$	False	False
BGLC5CD5040YFM.BSLI.COM	ADMIN$	False	False
BGLC5CD5040YFM.BSLI.COM	C$	False	False
BGLC5CD5040YCS.BSLI.COM	ADMIN$	False	False
BGLC5CD5040YCS.BSLI.COM	C$	False	False
ADLC5CD335LTN7.BSLI.COM	ADMIN$	False	False
ADLC5CD335LTN7.BSLI.COM	C$	False	False
ABHFLDTG0155QZ.BSLI.COM	ADMIN$	False	False
ABHFLDTG0155QZ.BSLI.COM	C$	False	False
ABHFLDTG0155QZ.BSLI.COM	D	True	True
ABHFLDTG0155QZ.BSLI.COM	D$	False	False
ABHFLDTG0155QZ.BSLI.COM	Users	True	True
ABHFLLTD4244KSY.BSLI.COM	ADMIN$	False	False
ABHFLLTD4244KSY.BSLI.COM	C$	False	False
BGLC6Z2QHL3.BSLI.COM	ADMIN$	False	False
BGLC6Z2QHL3.BSLI.COM	C$	False	False
BGLC5CD5061PN9.BSLI.COM	ADMIN$	False	False
BGLC5CD5061PN9.BSLI.COM	C$	False	False
BGLC3P4ZRL3.BSLI.COM	ADMIN$	False	False
BGLC3P4ZRL3.BSLI.COM	C$	False	False
BGLC3P4ZRL3.BSLI.COM	print$	True	True
HILL1N12200DY4.BSLI.COM	ADMIN$	False	False
HILL1N12200DY4.BSLI.COM	C$	False	False
HILL1N12200DY4.BSLI.COM	D$	False	False
ABFSTCLICATPA1.BSLI.COM	ADMIN$	False	False
ABFSTCLICATPA1.BSLI.COM	C$	False	False
ABFSTCLICATPA1.BSLI.COM	D$	False	False
ABFSTCLICATPA2.BSLI.COM	ADMIN$	False	False
ABFSTCLICATPA2.BSLI.COM	C$	False	False
ABFSTCLICATPA2.BSLI.COM	D$	False	False
